"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","CCN_3","CCA_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
158,211,"ZAF","South Africa",6,"Mpumalanga",37,"Nkangala",158,"Dr JS Moroka",NA,"MP316","Local Municipality","Local Municipality","",""
159,211,"ZAF","South Africa",6,"Mpumalanga",37,"Nkangala",159,"Emakhazeni",NA,"MP314","Local Municipality","Local Municipality","",""
160,211,"ZAF","South Africa",6,"Mpumalanga",37,"Nkangala",160,"Emalahleni",NA,"MP312","Local Municipality","Local Municipality","",""
161,211,"ZAF","South Africa",6,"Mpumalanga",37,"Nkangala",161,"Steve Tshwete",NA,"MP313","Local Municipality","Local Municipality","",""
162,211,"ZAF","South Africa",6,"Mpumalanga",37,"Nkangala",162,"Thembisile",NA,"MP315","Local Municipality","Local Municipality","",""
163,211,"ZAF","South Africa",6,"Mpumalanga",37,"Nkangala",163,"Victor Khanye",NA,"MP311","Local Municipality","Local Municipality","",""
164,211,"ZAF","South Africa",7,"North West",38,"Bojanala",164,"Kgetlengrivier",NA,"NW374","Local Municipality","Local Municipality","",""
165,211,"ZAF","South Africa",7,"North West",38,"Bojanala",165,"Madibeng",NA,"NW372","Local Municipality","Local Municipality","",""
166,211,"ZAF","South Africa",7,"North West",38,"Bojanala",166,"Moretele",NA,"NW371","Local Municipality","Local Municipality","",""
167,211,"ZAF","South Africa",7,"North West",38,"Bojanala",167,"Moses Kotane",NA,"NW375","Local Municipality","Local Municipality","",""
168,211,"ZAF","South Africa",7,"North West",38,"Bojanala",168,"Rustenburg",NA,"NW373","Local Municipality","Local Municipality","",""
169,211,"ZAF","South Africa",7,"North West",39,"Dr Kenneth Kaunda",169,"City of Matlosana",NA,"NW403","Local Municipality","Local Municipality","",""
170,211,"ZAF","South Africa",7,"North West",39,"Dr Kenneth Kaunda",170,"Maquassi Hills",NA,"NW404","Local Municipality","Local Municipality","",""
171,211,"ZAF","South Africa",7,"North West",39,"Dr Kenneth Kaunda",171,"Tlokwe City Council",NA,"NW402","Local Municipality","Local Municipality","",""
172,211,"ZAF","South Africa",7,"North West",39,"Dr Kenneth Kaunda",172,"Ventersdorp",NA,"NW401","Local Municipality","Local Municipality","",""
173,211,"ZAF","South Africa",7,"North West",40,"Dr Ruth Segomotsi Mompati",173,"Greater Taung",NA,"NW394","Local Municipality","Local Municipality","",""
174,211,"ZAF","South Africa",7,"North West",40,"Dr Ruth Segomotsi Mompati",174,"Kagisano/Molopo",NA,"NW397","Local Municipality","Local Municipality","",""
175,211,"ZAF","South Africa",7,"North West",40,"Dr Ruth Segomotsi Mompati",175,"Lekwa-Teemane",NA,"NW396","Local Municipality","Local Municipality","",""
176,211,"ZAF","South Africa",7,"North West",40,"Dr Ruth Segomotsi Mompati",176,"Mamusa",NA,"NW393","Local Municipality","Local Municipality","",""
177,211,"ZAF","South Africa",7,"North West",40,"Dr Ruth Segomotsi Mompati",177,"Naledi",NA,"NW392","Local Municipality","Local Municipality","",""
178,211,"ZAF","South Africa",7,"North West",41,"Ngaka Modiri Molema",178,"Ditsobotla",NA,"NW384","Local Municipality","Local Municipality","",""
179,211,"ZAF","South Africa",7,"North West",41,"Ngaka Modiri Molema",179,"Mafikeng",NA,"NW383","Local Municipality","Local Municipality","",""
180,211,"ZAF","South Africa",7,"North West",41,"Ngaka Modiri Molema",180,"Ramotshere Moiloa",NA,"NW385","Local Municipality","Local Municipality","",""
181,211,"ZAF","South Africa",7,"North West",41,"Ngaka Modiri Molema",181,"Ratlou",NA,"NW381","Local Municipality","Local Municipality","",""
